,chrom,start,end,expHops,bgHops,norm_bgHops,pValue,negLog10pValue,rejected,corrected_pValue,negLog10corrected,,Nearby gene,
929,chr1,116508897,116510023,65,3,3.224055793,5.64E-60,59.24862059,TRUE,1.74E-55,54.76045075,,CD58,High Expression of CD58 and ALDH1A3 Predicts a Poor Prognosis in Basal-like Breast Cancer
28968,chr9,76304777,76307042,42,0,1,2.68E-52,51.57175912,TRUE,4.12E-48,47.38461927,,PCSK5,
17354,chr21,46292572,46294500,38,0,1,7.22E-46,45.14154144,TRUE,7.40E-42,41.13049286,,YBEY,breast cancers had a significantly increased expression of YBEY.
24503,chr6,114363982,114364769,33,0,1,4.36E-38,37.36002655,TRUE,3.36E-34,33.4739167,,HDAC2-AS2,
6671,chr12,130079581,130141603,96,30,23.24055793,1.54E-29,28.81142725,TRUE,9.50E-26,25.02222742,,lncRNA/TMEM132D,
2486,chr10,1268640,1268824,27,0,1,3.50E-29,28.45550345,TRUE,1.80E-25,24.74548486,,ADARB2,
28262,chr8,123563741,123564287,42,4,3.965407724,2.00E-28,27.69982538,TRUE,8.77E-25,24.05675358,,FBXO32,Tumour suppressive?
508,chr1,83815129,83828386,26,0,1,9.47E-28,27.02354591,TRUE,3.64E-24,23.43846606,,LOC101927560,
16709,chr20,54195039,54195417,45,6,5.448111586,5.52E-26,25.25824498,TRUE,1.89E-22,21.72431765,,,
8669,chr14,96123221,96216459,96,34,26.20596565,8.42E-26,25.07488218,TRUE,2.59E-22,21.58671235,,bdkrb2,BDKRB2 is a novel EMT-related biomarker and predicts poor survival in glioma
7431,chr13,93559772,93560253,24,0,1,6.18E-25,24.2093002,TRUE,1.58E-21,20.80031161,,GPC6,GPC6 has been shown to promote breast cancer progression by inhibiting ?-catenin and Wnt signaling pathways.
29656,chr9,125460728,125461110,24,0,1,6.18E-25,24.2093002,TRUE,1.58E-21,20.80031161,,MAPKAP1,Unmasking the tumourigenic role of SIN1/MAPKAP1 in the mTOR complex 2
10359,chr16,67985221,68005897,28,1,1.741351931,3.40E-24,23.4687418,TRUE,7.47E-21,20.1267,,,
14647,chr2,144341186,144353768,28,1,1.741351931,3.40E-24,23.4687418,TRUE,7.47E-21,20.1267,,,
6132,chr12,88298610,88301715,52,10,8.413519309,4.10E-24,23.38696264,TRUE,8.42E-21,20.07488406,,,
4463,chr11,66124600,66124842,23,0,1,1.48E-23,22.82833812,TRUE,2.86E-20,19.54428827,,,
4491,chr11,67022620,67031505,44,7,6.189463516,6.08E-23,22.21589063,TRUE,9.85E-20,19.0064744,,,
6641,chr12,124727649,124730937,44,7,6.189463516,6.08E-23,22.21589063,TRUE,9.85E-20,19.0064744,,,
10718,chr16_KI270853v1_alt,136311,138546,27,1,1.741351931,5.48E-23,22.26148502,TRUE,9.85E-20,19.0064744,,,
14701,chr2,151580345,151625990,65,18,14.34433476,1.39E-22,21.8558335,TRUE,2.14E-19,18.66869366,,,
11825,chr17,67500610,67503370,22,0,1,3.42E-22,21.46579303,TRUE,5.01E-19,18.29984249,,,
13751,chr2,36598437,36701694,105,46,35.10218882,1.43E-21,20.84488015,TRUE,1.91E-18,17.71843815,,,
